EQN_NO,LIFEFORM,SPP_CODE,SCI_NAME,COMM_NAME,BIO_COMP,GEO_AREA,SER_STAG,DPV_O,DPV_OMIN,DPV_OMAX,DPV_OUNIT,IP1_TEXT,IP1_MIN,IP1_MAX,IP1_UNIT,IP2_TEXT,IP2_MIN,IP2_MAX,IP2_UNIT,IP3_TEXT,IP3_MIN,IP3_MAX,IP3_UNIT,ORG_EQFM,SMP_SIZE,R_SQUARE,MS_ERROR,SEE
277,H,"PEFR2","Petasites frigidus","Sweet Coltsfoot",BAT,W,Y,"Total abvground biomass (inc. foliage)",,,g,"Cover (on 1 sq. meter)",0.000,100.000,%,"","",,,"",,,,"ln(BAT) = -0.149881 + 1.076201 * ln(COV)",70,,,
278,S,"ARPA","Arctostaphylos patula","Greenleaf Manzanita",BFT,E,Y,"Foliage biomass",0.300,930.000,g,"Stem basal diameter (at ground)",0.400,11.500,cm,"Height","20.0",230.000,cm,"",,,,"ln(BFT) = 6.3931 + 2.9613*ln(DBA) - 1.3781*ln(HT)",150,0.790,1.269000,
279,S,"ARPA","Arctostaphylos patula","Greenleaf Manzanita",BST,E,Y,"Stem biomass",0.200,5682.000,g,"Stem basal diameter (at ground)",0.400,11.500,cm,"Canopy length","7.0",298.000,cm,"",,,,"ln(BST) = -1.1052 + 1.8090*ln(DBA) + 1.0702*ln(LEN)",150,0.960,0.275000,
280,T,"ALRU","Alnus rubra","Red Alder",BFT,C,Y,"Total foliage biomass",,,g,"DBH",1.700,13.200,cm,"","",,,"",,,,"ln(BFT) =  3.39718 + 1.93319 * ln(DBH)",18,0.930,0.108640,0.329610
281,T,"ALRU","Alnus rubra","Red Alder",BFT,C,Y,"Total foliage biomass",,,g,"Geom mean stump dia,o/side bark,@15cm ht.",2.500,16.000,cm,"","",,,"",,,,"ln(BFT) =  2.32462 + 2.17619 * ln(DBA)",18,0.970,0.044140,0.210100
282,T,"ALRU","Alnus rubra","Red Alder",PFT,C,Y,"Single-sided leaf area",,,m^2,"Geom mean dia., outside bark, @ breast ht",1.700,13.200,cm,"","",,,"",,,,"ln(PFT) = -0.75059 + 1.82939 * ln(DBH)",18,0.910,0.125610,0.354420
283,T,"ALRU","Alnus rubra","Red Alder",PFT,C,Y,"Single-sided leaf area",,,m^2,"Geom mean stump dia,o/side bark,@15cm ht.",2.500,16.000,cm,"","",,,"",,,,"ln(PFT) = -1.79491 + 2.07398 * ln(DBA)",18,0.960,0.049050,0.221470
284,T,"ALRU","Alnus rubra","Red Alder",BBL,C,Y,"Branch biomass",,,g,"Geom mean dia., outside bark, @ breast ht",1.700,13.200,cm,"","",,,"",,,,"ln(BBL) =  3.41463 + 2.38276 * ln(DBH)",18,0.910,0.212340,0.460800
285,T,"ALRU","Alnus rubra","Red Alder",BBL,C,Y,"Branch biomass",,,g,"Geom mean stump dia,o/side bark,@15cm ht.",2.500,16.000,cm,"","",,,"",,,,"ln(BBL) =  2.05523 + 2.70092 * ln(DBA)",18,0.960,0.083130,0.288320
286,T,"ALRU","Alnus rubra","Red Alder",VST,C,Y,"Bole volume, bark and wood",,,cm^3,"Geom mean dia., outside bark, @ breast ht",1.700,13.200,cm,"","",,,"",,,,"ln(VST) =  5.60842 + 2.09759 * ln(DBH)",18,0.960,0.064770,0.254500
287,T,"ALRU","Alnus rubra","Red Alder",BST,C,Y,"Bole biomass, bark and wood",,,g,"Geom mean dia., outside bark, @ breast ht",1.700,13.200,cm,"","",,,"",,,,"ln(BST) =  4.71633 + 1.09759 * ln(DBH)",18,0.960,0.064770,0.254500
288,T,"ALRU","Alnus rubra","Red Alder",BAT,C,Y,"Total aboveground biomass",,,g,"Geom mean dia., outside bark, @ breast ht",1.700,13.200,cm,"","",,,"",,,,"ln(BAT) =  5.13118 + 2.15046 * ln(DBH)",18,0.950,0.087170,0.295250
289,T,"ALRU","Alnus rubra","Red Alder",HST,C,Y,"Total height",,,cm,"Geom mean dia., outside bark, @ breast ht",1.700,13.200,cm,"","",,,"",,,,"ln(HST) =  5.71009 + 0.43127 * ln(DBH)",18,0.840,0.013250,0.115110
290,T,"ALRU","Alnus rubra","Red Alder",VST,C,Y,"Bole volume, bark and wood",,,cm^3,"Geom mean stump dia,o/side bark,@15cm ht.",2.500,16.000,cm,"","",,,"",,,,"ln(VST) =  4.51624 + 2.32556 * ln(DBA)",18,0.980,0.040850,0.202110
291,T,"ALRU","Alnus rubra","Red Alder",BST,C,Y,"Bole biomass, bark and wood",,,g,"Geom mean stump dia,o/side bark,@15cm ht.",2.500,16.000,cm,"","",,,"",,,,"ln(BST) =  3.62416 + 2.32556 * ln(DBA)",18,0.980,0.040850,0.202110
292,T,"ALRU","Alnus rubra","Red Alder",BAT,C,Y,"Total aboveground biomass",,,g,"Geom mean stump dia,o/side bark,@15cm ht.",2.500,16.000,cm,"","",,,"",,,,"ln(BAT) =  3.99480 + 2.37729 * ln(DBA)",18,0.980,0.029380,0.171410
293,T,"ALRU","Alnus rubra","Red Alder",HST,C,Y,"Total height",,,cm,"Geom mean stump dia,o/side bark,@15cm ht.",2.500,16.000,cm,"","",,,"",,,,"ln(HST) =  5.50088 + 0.47048 * ln(DBA)",18,0.830,0.014500,0.120420
294,S,"ARPA","Arctostaphylos patula","Greenleaf Manzanita",BAL,E,Y,"Aboveground live biomass",0.600,7065.000,g,"Stem basal diameter (at ground)",0.400,11.500,cm,"Canopy length","7.0",298.000,cm,"",,,,"ln(BAL) = -0.2117 + 1.7569*ln(DBA) + 0.9536*ln(LEN)",150,0.960,0.225000,
295,S,"PUTR","Purshia tridentata","Antelope Bitterbrush",BAL,E,Y,"Aboveground live biomass",0.600,2755.000,g,"Stem basal diameter (at ground level)",0.300,6.900,cm,"","",,,"",,,,"ln(BAL) = 3.5906 + 2.3873 * ln(DBA)",150,0.950,0.090000,
296,S,"CEVE","Ceanothus velutinus","Snowbrush Ceanothus",BAT,E,Y,"Total aboveground biomass",1.000,5677.000,g,"Stem basal diameter (below all branches)",0.300,11.700,cm,"Height","21",188.000,cm,"Canopy length",8.000,266.000,cm,"ln(BAT) = -0.2289 + 1.6647*ln(DBA) + 0.3969*ln(HT) + 0.5365*ln(LEN)",150,0.970,0.117000,
297,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BFT,C,Y,"Total foliage biomass",,,g,"Geom mean dia., outside bark, @ breast ht",1.400,13.400,cm,"","",,,"",,,,"ln(BFT) =  3.32861 + 2.03097 * ln(DBH)",18,0.940,0.121200,0.348100
298,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BBL,C,Y,"Branch biomass",,,g,"Geom mean dia., outside bark, @ breast ht",1.400,13.400,cm,"","",,,"",,,,"ln(BBL) =  2.85568 + 2.50332 * ln(DBH)",18,0.940,0.193220,0.439600
299,T,"PSME","Pseudotsuga menziesii","Douglas Fir",VST,C,Y,"Bole volume, bark and wood",,,cm^3,"Geom mean dia., outside bark, @ breast ht",1.400,13.400,cm,"","",,,"",,,,"ln(VST) =  5.48754 + 2.11972 * ln(DBH)",18,0.970,0.059710,0.244400
300,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BST,C,Y,"Bole biomass, bark and wood",,,g,"Geom mean dia., outside bark, @ breast ht",1.400,13.400,cm,"","",,,"",,,,"ln(BST) =  4.63891 + 2.11972 * ln(DBH)",18,0.970,0.059710,0.244400
301,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BAT,C,Y,"Total aboveground biomass",,,g,"Geom mean dia., outside bark, @ breast ht",1.400,13.400,cm,"","",,,"",,,,"ln(BAT) =  4.98412 + 2.18584 * ln(DBH)",18,0.970,0.074220,0.272400
302,T,"PSME","Pseudotsuga menziesii","Douglas Fir",HST,C,Y,"Total height",,,cm,"Geom mean dia., outside bark, @ breast ht",1.400,13.400,cm,"","",,,"",,,,"ln(HST) =  5.52922 + 0.45428 * ln(DBH)",18,0.830,0.019860,0.140900
303,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BFT,C,Y,"Total foliage biomass",,,g,"Geom mean stump dia,o/side bark,@15cm ht.",2.100,21.900,cm,"","",,,"",,,,"ln(BFT) =  2.92198 + 1.93589 * ln(DBA)",18,0.940,0.133770,0.365700
304,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BBL,C,Y,"Branch biomass",,,g,"Geom mean stump dia,o/side bark,@15cm ht.",2.100,21.900,cm,"","",,,"",,,,"ln(BBL) =  2.34043 + 2.39279 * ln(DBA)",18,0.940,0.195520,0.442200
305,T,"PSME","Pseudotsuga menziesii","Douglas Fir",VST,C,Y,"Bole volume, bark and wood",,,cm^3,"Geom mean stump dia,o/side bark,@15cm ht.",2.100,21.900,cm,"","",,,"",,,,"ln(VST) =  5.12749 + 1.96501 * ln(DBA)",18,0.970,0.069120,0.262900
306,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BST,C,Y,"Bole biomass, bark and wood",,,g,"Geom mean stump dia,o/side bark,@15cm ht.",2.100,21.900,cm,"","",,,"",,,,"ln(BST) =  4.27886 + 1.96501 * ln(DBA)",18,0.970,0.069120,0.262900
307,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BAT,C,Y,"Total aboveground biomass",,,g,"Geom mean stump dia,o/side bark,@15cm ht.",2.100,21.900,cm,"","",,,"",,,,"ln(BAT) =  4.59314 + 2.03553 * ln(DBA)",18,0.970,0.063280,0.251600
308,T,"PSME","Pseudotsuga menziesii","Douglas Fir",HST,C,Y,"Total height",,,cm,"Geom mean stump dia,o/side bark,@15cm ht.",2.100,21.900,cm,"","",,,"",,,,"ln(HST) =  5.48007 + 0.40801 * ln(DBA)",18,0.780,0.026380,0.162400
309,T,"PISI","Picea sitchensis","Sitka Spruce",BSW,C,O,"Stem wood biomass",,,Mg,"DBH",35.400,283.000,cm,"","",,,"",,,,"ln(BSW) = -9.15078 + 2.3633 * ln(DBH)                                  and density = 0.360 g/cc",41,0.950,0.046847,0.216442
310,T,"PISI","Picea sitchensis","Sitka Spruce",BSB,C,O,"Stem bark biomass",,,Mg,"DBH",35.400,283.000,cm,"","",,,"",,,,"ln(BSB) = -9.0844 + 1.7059 * ln(DBH)                                  and density = 0.538 g/cc",41,0.816,0.105375,0.324615
311,T,"PISI","Picea sitchensis","Sitka Spruce",BST,C,O,"Total stem biomass",,,Mg,"DBH",35.400,283.000,cm,"","",,,"",,,,"ln(BST) = -8.94407 + 2.3320 * ln(DBH)                                  and density = 0.369 g/cc",41,0.952,0.043914,0.209557
312,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,C,O,"Stem wood biomass",,,Mg,"DBH",19.600,172.300,cm,"","",,,"",,,,"ln(BSW) = -9.29245 + 2.4222 * ln(DBH)                                  and density = 0.421 g/cc",47,0.957,0.063191,0.251378
313,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,C,O,"Stem bark biomass",,,Mg,"DBH",19.600,172.300,cm,"","",,,"",,,,"ln(BSB) = -10.2555 + 2.0166 * ln(DBH)                                  and density = 0.415 g/cc",47,0.895,0.114839,0.338879
314,T,"TSHE","Tsuga heterophylla","Western Hemlock",BST,C,O,"Total stem biomass",,,Mg,"DBH",19.600,172.300,cm,"","",,,"",,,,"ln(BST) = -9.07537 + 2.3863 * ln(DBH)                                  and density = 0.420 g/cc",47,0.961,0.055814,0.236250
315,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BSW,E,O,"Stem wood biomass",,,Mg,"DBH",24.100,117.700,cm,"","",,,"",,,,"ln(BSW) = -11.8236 + 2.9260 * ln(DBH)                                  and density = 0.380 g/cc",42,0.981,0.030171,0.173699
316,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BSB,E,O,"Stem bark biomass",,,Mg,"DBH",24.100,117.700,cm,"","",,,"",,,,"ln(BSB) = -9.93105 + 2.1677 * ln(DBH)                                  and density = 0.345 g/cc",42,0.968,0.028397,0.168515
317,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BST,E,O,"Total stem biomass",,,Mg,"DBH",24.100,117.700,cm,"","",,,"",,,,"ln(BST) = -10.755 + 2.7308 * ln(DBH)                                   and density = 0.371 g/cc",42,0.984,0.021484,0.146575
318,T,"ABAM","Abies amabilis","Pacific Silver Fir",BSW,W,O,"Stem wood biomass",,,Mg,"DBH",8.100,109.300,cm,"","",,,"",,,,"ln(BSW) = -9.69116 + 2.4970 * ln(DBH)                                  and density = 0.400 g/cc",75,0.932,0.141662,0.376381
319,T,"ABAM","Abies amabilis","Pacific Silver Fir",BSB,W,O,"Stem bark biomass",,,Mg,"DBH",8.100,109.300,cm,"","",,,"",,,,"ln(BSB) = -10.8498 + 2.3179 * ln(DBH)                                  and density = 0.570 g/cc",75,0.833,0.334923,0.578726
320,T,"ABAM","Abies amabilis","Pacific Silver Fir",BST,W,O,"Total stem biomass",,,Mg,"DBH",8.100,109.300,cm,"","",,,"",,,,"ln(BST) = -9.46281 + 2.4762 * ln(DBH)                                  and density = 0.417 g/cc",75,0.933,0.136625,0.369629
321,T,"ABLA2","Abies lasiocarpa","Subalpine Fir",BSW,W,O,"Stem wood biomass",,,Mg,"DBH",15.600,68.700,cm,"","",,,"",,,,"ln(BSW) = -9.84218 + 2.3971 * ln(DBH)                                  and density = 0.319 g/cc",17,0.982,0.019901,0.141070
322,T,"ABLA2","Abies lasiocarpa","Subalpine Fir",BSB,W,O,"Stem bark biomass",,,Mg,"DBH",15.600,68.700,cm,"","",,,"",,,,"ln(BSB) = -12.3983 + 2.5006 * ln(DBH)                                  and density = 0.570 g/cc",17,0.969,0.038428,0.196032
323,T,"ABLA2","Abies lasiocarpa","Subalpine Fir",BST,W,O,"Total stem biomass",,,Mg,"DBH",15.600,68.700,cm,"","",,,"",,,,"ln(BST) = -9.74475 + 2.4028 * ln(DBH)                                  and density = 0.337 g/cc",17,0.982,0.021880,0.147918
324,T,"CHNO","Chamaecyparis nootkatensi","Alaska Yellow Cedar",BSW,W,O,"Stem wood biomass",,,Mg,"DBH",18.900,109.100,cm,"","",,,"",,,,"ln(BSW) = -10.1534 + 2.5799 * ln(DBH)                                  and density = 0.408 g/cc",26,0.969,0.041369,0.203394
325,T,"CHNO","Chamaecyparis nootkatensi","Alaska Yellow Cedar",BSB,W,O,"Stem bark biomass",,,Mg,"DBH",18.900,109.100,cm,"","",,,"",,,,"ln(BSB) = -11.9695 + 2.3652 * ln(DBH)                                  and density = 0.392 g/cc",26,0.832,0.216632,0.465438
326,T,"CHNO","Chamaecyparis nootkatensi","Alaska Yellow Cedar",BST,W,O,"Total stem biomass",,,Mg,"DBH",18.900,109.100,cm,"","",,,"",,,,"ln(BST) = -10.0153 + 2.5616 * ln(DBH)                                  and density = 0.407 g/cc",26,0.968,0.041369,0.203394
327,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSW,W,O,"Stem wood biomass",,,Mg,"DBH",31.500,215.000,cm,"","",,,"",,,,"ln(BSW) = -9.78334 + 2.4930 * ln(DBH)                                  and density = 0.452 g/cc",45,0.953,0.069189,0.263039
328,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSB,W,O,"Stem bark biomass",,,Mg,"DBH",31.500,215.000,cm,"","",,,"",,,,"ln(BSB) = -9.54038 + 2.2136 * ln(DBH)                                  and density = 0.438 g/cc",45,0.835,0.221830,0.470988
329,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BST,W,O,"Total stem biomass",,,Mg,"DBH",31.500,215.000,cm,"","",,,"",,,,"ln(BST) = -9.21703 + 2.4367 * ln(DBH)                                  and density = 0.449 g/cc",45,0.957,0.060864,0.246707
330,T,"THPL","Thuja plicata","Western Redcedar",BSW,W,O,"Stem wood biomass",,,Mg,"DBH",11.800,168.500,cm,"","",,,"",,,,"ln(BSW) = -9.98314 + 2.4406 * ln(DBH)                                  and density = 0.312 g/cc",17,0.989,0.040781,0.201944
331,T,"THPL","Thuja plicata","Western Redcedar",BSB,W,O,"Stem bark biomass",,,Mg,"DBH",11.800,168.500,cm,"","",,,"",,,,"ln(BSB) = -10.8822 + 2.0450 * ln(DBH)                                  and density = 0.333 g/cc",17,0.930,0.194435,0.440948
332,T,"THPL","Thuja plicata","Western Redcedar",BST,W,O,"Total stem biomass",,,Mg,"DBH",11.800,168.500,cm,"","",,,"",,,,"ln(BST) = -9.73813 + 2.4024 * ln(DBH)                                  and density = 0.313 g/cc",17,0.991,0.031747,0.178176
333,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,W,O,"Stem wood biomass",,,Mg,"DBH",8.900,113.300,cm,"","",,,"",,,,"ln(BSW) = -10.5826 + 2.7429 * ln(DBH)                                  and density = 0.421 g/cc",80,0.875,0.057952,0.240733
334,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,W,O,"Stem bark biomass",,,Mg,"DBH",8.900,113.300,cm,"","",,,"",,,,"ln(BSB) = -11.2527 + 2.3623 * ln(DBH)                                  and density = 0.415 g/cc",80,0.873,0.248855,0.498854
335,T,"TSHE","Tsuga heterophylla","Western Hemlock",BST,W,O,"Total stem biomass",,,Mg,"DBH",8.900,113.300,cm,"","",,,"",,,,"ln(BST) = -10.2894 + 2.7017 * ln(DBH)                                  and density = 0.420 g/cc",80,0.975,0.058535,0.241940
336,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BSW,W,O,"Stem wood biomass",,,Mg,"DBH",22.300,88.800,cm,"","",,,"",,,,"ln(BSW) = -11.7438 + 2.9339 * ln(DBH)                                  and density = 0.403 g/cc",15,0.978,0.030565,0.174829
337,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BSB,W,O,"Stem bark biomass",,,Mg,"DBH",22.300,88.800,cm,"","",,,"",,,,"ln(BSB) = -11.7977 + 2.5632 * ln(DBH)                                  and density = 0.415 g/cc",15,0.957,0.047433,0.217791
338,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BST,W,O,"Total stem biomass",,,Mg,"DBH",22.300,88.800,cm,"","",,,"",,,,"ln(BST) = -11.3056 + 2.8727 * ln(DBH)                                  and density = 0.405 g/cc",15,0.981,0.025240,0.158871
339,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BSW,G,M,"Stem wood biomass",,,Mg,"DBH",11.500,125.700,cm,"","",,,"",,,,"ln(BSW) = -10.6701 + 2.6627 * ln(DBH)                                  and density = 0.403 g/cc",399,0.955,0.043523,0.208622
340,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BSB,G,M,"Stem bark biomass",,,Mg,"DBH",11.500,125.700,cm,"","",,,"",,,,"ln(BSB) = -10.7505 + 2.3268 * ln(DBH)                                  and density = 0.415 g/cc",399,0.911,0.068996,0.262671
341,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BST,G,M,"Total stem biomass",,,Mg,"DBH",11.500,125.700,cm,"","",,,"",,,,"ln(BST) = -10.1688 + 2.5915 * ln(DBH)                                  and density = 0.405 g/cc",399,0.959,0.038036,0.195028
342,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSW,W,O,"Stem wood biomass",,,Mg,"DBH",17.200,177.400,cm,"","",,,"",,,,"ln(BSW) = -8.97352 + 2.3323 * ln(DBH)                                  and density = 0.452 g/cc",116,0.970,0.061252,0.247492
343,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSB,W,O,"Stem bark biomass",,,Mg,"DBH",17.200,177.400,cm,"","",,,"",,,,"ln(BSB) = -10.9129 + 2.4818 * ln(DBH)                                  and density = 0.438 g/cc",116,0.933,0.160208,0.400261
344,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BST,W,O,"Total stem biomass",,,Mg,"DBH",17.200,177.400,cm,"","",,,"",,,,"ln(BST) = -8.85298 + 2.3602 * ln(DBH)                                  and density = 0.449 g/cc",116,0.972,0.059195,0.243301
345,T,"THPL","Thuja plicata","Western Redcedar",BSW,W,O,"Stem wood biomass",,,Mg,"DBH",17.100,123.700,cm,"","",,,"",,,,"ln(BSW) = -9.86146 + 2.4078 * ln(DBH)                                  and density = 0.312 g/cc",22,0.985,0.036662,0.191473
346,T,"THPL","Thuja plicata","Western Redcedar",BSB,W,O,"Stem bark biomass",,,Mg,"DBH",17.100,123.700,cm,"","",,,"",,,,"ln(BSB) = -12.4573 + 2.3631 * ln(DBH)                                  and density = 0.333 g/cc",22,0.860,0.371465,0.609479
347,T,"THPL","Thuja plicata","Western Redcedar",BST,W,O,"Total stem biomass",,,Mg,"DBH",17.100,123.700,cm,"","",,,"",,,,"ln(BST) = -9.80421 + 2.4080 * ln(DBH)                                  and density = 0.313 g/cc",22,0.986,0.034501,0.185744
348,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,W,O,"Stem wood biomass",,,Mg,"DBH",14.400,114.800,cm,"","",,,"",,,,"ln(BSW) = -9.6392  + 2.5353 * ln(DBH)                                  and density = 0.421 g/cc",91,0.921,0.155773,0.394681
349,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,W,O,"Stem bark biomass",,,Mg,"DBH",14.400,114.800,cm,"","",,,"",,,,"ln(BSB) = -11.0493 + 2.3474 * ln(DBH)                                  and density = 0.415 g/cc",91,0.780,0.436342,0.660562
350,T,"TSHE","Tsuga heterophylla","Western Hemlock",BST,W,O,"Total stem biomass",,,Mg,"DBH",14.400,114.800,cm,"","",,,"",,,,"ln(BST) = -9.42862 + 2.5095 * ln(DBH)                                  and density = 0.420 g/cc",91,0.911,0.172355,0.415157
351,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSW,W,O,"Stem wood biomass",,,Mg,"DBH",38.600,161.000,cm,"","",,,"",,,,"ln(BSW) = -8.22105 + 2.2145 * ln(DBH)                                  and density = 0.452 g/cc",20,0.926,0.039997,0.199993
352,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSB,W,O,"Stem bark biomass",,,Mg,"DBH",38.600,161.000,cm,"","",,,"",,,,"ln(BSB) = -9.20732 + 2.0687 * ln(DBH)                                  and density = 0.438 g/cc",20,0.802,0.107650,0.328101
353,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BST,W,O,"Total stem biomass",,,Mg,"DBH",38.600,161.000,cm,"","",,,"",,,,"ln(BST) = -7.93828 + 2.1901 * ln(DBH)                                  and density = 0.449 g/cc",20,0.937,0.032731,0.180916
354,T,"THPL","Thuja plicata","Western Redcedar",BSW,W,O,"Stem wood biomass",,,Mg,"DBH",31.200,95.500,cm,"","",,,"",,,,"ln(BSW) = -10.1113 + 2.5203 * ln(DBH)                                  and density = 0.312 g/cc",12,0.916,0.092622,0.304338
355,T,"THPL","Thuja plicata","Western Redcedar",BSB,W,O,"Stem bark biomass",,,Mg,"DBH",31.200,95.500,cm,"","",,,"",,,,"ln(BSB) = -7.89592 + 1.4302 * ln(DBH)                                  and density = 0.333 g/cc",12,0.692,0.144455,0.380073
356,T,"THPL","Thuja plicata","Western Redcedar",BST,W,O,"Total stem biomass",,,Mg,"DBH",31.200,95.500,cm,"","",,,"",,,,"ln(BST) = -9.56547 + 2.4117 * ln(DBH)                                  and density = 0.313 g/cc",12,0.918,0.081900,0.286182
357,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,W,O,"Stem wood biomass",,,Mg,"DBH",24.700,56.000,cm,"","",,,"",,,,"ln(BSW) = -11.537 + 3.0358 * ln(DBH)                                   and density = 0.421 g/cc",15,0.906,0.042544,0.206263
358,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,W,O,"Stem bark biomass",,,Mg,"DBH",24.700,56.000,cm,"","",,,"",,,,"ln(BSB) = -13.0359 + 2.8795 * ln(DBH)                                  and density = 0.415 g/cc",15,0.861,0.059700,0.244336
359,T,"TSHE","Tsuga heterophylla","Western Hemlock",BST,W,O,"Total stem biomass",,,Mg,"DBH",24.700,56.000,cm,"","",,,"",,,,"ln(BST) = -11.3611 + 3.0203 * ln(DBH)                                  and density = 0.420 g/cc",15,0.916,0.037447,0.193513
360,T,"ABAM","Abies amabilis","Pacific Silver Fir",BSW,W,M,"Stem wood biomass",,,Mg,"DBH",13.300,80.000,cm,"","",,,"",,,,"ln(BSW) = -10.7366 + 2.7623 * ln(DBH)                                  and density = 0.400 g/cc",68,0.973,0.038625,0.196531
361,T,"ABAM","Abies amabilis","Pacific Silver Fir",BSB,W,M,"Stem bark biomass",,,Mg,"DBH",13.300,80.000,cm,"","",,,"",,,,"ln(BSB) = -13.5169 + 3.0009 * ln(DBH)                                  and density = 0.570 g/cc",68,0.918,0.144641,0.380317
362,T,"ABAM","Abies amabilis","Pacific Silver Fir",BST,W,M,"Total stem biomass",,,Mg,"DBH",13.300,80.000,cm,"","",,,"",,,,"ln(BST) = -10.6483 + 2.7763 * ln(DBH)                                  and density = 0.417 g/cc",68,0.977,0.033124,0.182000
363,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSW,W,M,"Stem wood biomass",,,Mg,"DBH",24.600,206.500,cm,"","",,,"",,,,"ln(BSW) = -9.83253 + 2.5030 * ln(DBH)                                  and density = 0.452 g/cc",34,0.987,0.041761,0.204355
364,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSB,W,M,"Stem bark biomass",,,Mg,"DBH",24.600,206.500,cm,"","",,,"",,,,"ln(BSB) = -12.2258 + 2.7023 * ln(DBH)                                  and density = 0.438 g/cc",34,0.958,0.166107,0.407562
365,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BST,W,M,"Total stem biomass",,,Mg,"DBH",24.600,206.500,cm,"","",,,"",,,,"ln(BST) = -9.74211 + 2.5277 * ln(DBH)                                  and density = 0.449 g/cc",34,0.990,0.031747,0.178176
366,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,W,M,"Stem wood biomass",,,Mg,"DBH",15.300,134.700,cm,"","",,,"",,,,"ln(BSW) = -10.4025 + 2.6648 * ln(DBH)                                  and density = 0.421 g/cc",21,0.976,0.067836,0.260454
367,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,W,M,"Stem bark biomass",,,Mg,"DBH",15.300,134.700,cm,"","",,,"",,,,"ln(BSB) = -13.0282 + 2.7876 * ln(DBH)                                  and density = 0.415 g/cc",21,0.963,0.114650,0.338600
368,T,"TSHE","Tsuga heterophylla","Western Hemlock",BST,W,M,"Total stem biomass",,,Mg,"DBH",15.300,134.700,cm,"","",,,"",,,,"ln(BST) = -10.3325 + 2.6741 * ln(DBH)                                  and density = 0.420 g/cc",21,0.978,0.063385,0.251764
369,T,"PISI","Picea sitchensis","Sitka Spruce",BSW,C,M,"Stem wood biomass",,,Mg,"DBH",20.700,176.000,cm,"","",,,"",,,,"ln(BSW) = -9.91036 + 2.4995 * ln(DBH)                                  and density = 0.360 g/cc",27,0.933,0.147987,0.384691
370,T,"PISI","Picea sitchensis","Sitka Spruce",BSB,C,M,"Stem bark biomass",,,Mg,"DBH",20.700,176.000,cm,"","",,,"",,,,"ln(BSB) = -10.6146 + 2.0887 * ln(DBH)                                  and density = 0.538 g/cc",27,0.907,0.147244,0.383724
371,T,"PISI","Picea sitchensis","Sitka Spruce",BST,C,M,"Total stem biomass",,,Mg,"DBH",20.700,176.000,cm,"","",,,"",,,,"ln(BST) = -9.73037 + 2.4765 * ln(DBH)                                  and density = 0.369 g/cc",27,0.934,0.144269,0.379828
372,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,C,M,"Stem wood biomass",,,Mg,"DBH",19.300,121.600,cm,"","",,,"",,,,"ln(BSW) = -9.37724 + 2.4215 * ln(DBH)                                  and density = 0.421 g/cc",41,0.981,0.027214,0.164967
373,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,C,M,"Stem bark biomass",,,Mg,"DBH",19.300,121.600,cm,"","",,,"",,,,"ln(BSB) = -10.4315 + 2.0831 * ln(DBH)                                  and density = 0.415 g/cc",41,0.939,0.067450,0.259711
