EQN_NO,LIFEFORM,SPP_CODE,SCI_NAME,COMM_NAME,BIO_COMP,GEO_AREA,SER_STAG,TAX_LIFE,PA1_CODE,PA1_TEXT,PA1_MIN,PA1_MAX,PA1_UNIT,PA2_CODE,PA2_TEXT,PA2_MIN,PA2_MAX,PA2_UNIT,PA3_CODE,PA3_TEXT,PA3_MIN,PA3_MAX,PA3_UNIT,DEP_VAR,DPV_MIN,DPV_MAX,DPV_UNIT,CF1,CF2,CF3,CF4,EQUATION
320,T,"ABAM","Abies amabilis","Pacific Silver Fir",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",8.100,109.300,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.352699000,2.476200000,,,"ln(BST) = 4.352699 + 2.4762 * ln(DBH)"
321,T,"ABLA2","Abies lasiocarpa","Subalpine Fir",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.600,68.700,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.973332000,2.397100000,,,"ln(BSW) =  3.973332 + 2.3971 * ln(DBH)"
322,T,"ABLA2","Abies lasiocarpa","Subalpine Fir",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.600,68.700,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,1.417190000,2.500600000,,,"ln(BSB) =  1.41719 + 2.5006 * ln(DBH)"
323,T,"ABLA2","Abies lasiocarpa","Subalpine Fir",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.600,68.700,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.070762000,2.402800000,,,"ln(BST) = 4.070762 + 2.4028 * ln(DBH)"
324,T,"CHNO","Chamaecyparis nootkatensi","Alaska Yellow Cedar",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",18.900,109.100,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.662158000,2.579900000,,,"ln(BSW) =  3.662158 + 2.5799 * ln(DBH)"
325,T,"CHNO","Chamaecyparis nootkatensi","Alaska Yellow Cedar",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",18.900,109.100,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,1.845971000,2.365200000,,,"ln(BSB) = 1.845971 + 2.3652 * ln(DBH)"
326,T,"CHNO","Chamaecyparis nootkatensi","Alaska Yellow Cedar",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",18.900,109.100,cm,,"",,,,,"",,,,"Total stem biomass",,,g,3.800163000,2.561600000,,,"ln(BST) = 3.800163 + 2.5616 * ln(DBH)"
327,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",31.500,215.000,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,4.032171000,2.493000000,,,"ln(BSW) =  4.032171 + 2.4930 * ln(DBH)"
328,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",31.500,215.000,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,4.275131000,2.213600000,,,"ln(BSB) = 4.275131 + 2.2136 * ln(DBH)"
329,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",31.500,215.000,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.598476000,2.436700000,,,"ln(BST) = 4.598476 + 2.4367 * ln(DBH)"
330,T,"THPL","Thuja plicata","Western Redcedar",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",11.800,168.500,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.832372000,2.440600000,,,"ln(BSW) =  3.832372 + 2.4406 * ln(DBH)"
331,T,"THPL","Thuja plicata","Western Redcedar",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",11.800,168.500,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.933344000,2.045000000,,,"ln(BSB) = 2.933344 + 2.0450 * ln(DBH)"
332,T,"THPL","Thuja plicata","Western Redcedar",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",11.800,168.500,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.077376000,2.402400000,,,"ln(BST) = 4.077376 + 2.4024 * ln(DBH)"
333,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",8.900,113.300,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.232880000,2.742900000,,,"ln(BSW) = 3.23288 + 2.7429 * ln(DBH)"
334,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",8.900,113.300,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.562767000,2.362300000,,,"ln(BSB) = 2.562767 + 2.3623 * ln(DBH)"
335,T,"TSHE","Tsuga heterophylla","Western Hemlock",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",8.900,113.300,cm,,"",,,,,"",,,,"Total stem biomass",,,g,3.526139000,2.701700000,,,"ln(BST) = 3.526139 + 2.7017 * ln(DBH)"
336,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",22.300,88.800,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,2.071737000,2.933900000,,,"ln(BSW) =  2.071737 + 2.9339 * ln(DBH)"
337,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",22.300,88.800,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.017804000,2.563200000,,,"ln(BSB) = 2.017804 + 2.5632 * ln(DBH)"
338,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",22.300,88.800,cm,,"",,,,,"",,,,"Total stem biomass",,,g,2.509949000,2.872700000,,,"ln(BST) = 2.509949 + 2.8727 * ln(DBH)"
339,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BSW,G,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",11.500,125.700,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.145412000,2.662700000,,,"ln(BSW) =  3.145412 + 2.6627 * ln(DBH)"
340,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BSB,G,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",11.500,125.700,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,3.065042000,2.326800000,,,"ln(BSB) = 3.065042 + 2.3268 * ln(DBH)"
341,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BST,G,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",11.500,125.700,cm,,"",,,,,"",,,,"Total stem biomass",,,g,3.646673000,2.591500000,,,"ln(BST) = 3.646673 + 2.5915 * ln(DBH)"
342,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",17.200,177.400,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,4.841987000,2.332300000,,,"ln(BSW) =  4.841987 + 2.3323 * ln(DBH)"
343,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",17.200,177.400,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.902625000,2.481800000,,,"ln(BSB) = 2.902625 + 2.4818 * ln(DBH)"
344,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",17.200,177.400,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.962530000,2.360200000,,,"ln(BST) = 4.96253 + 2.3602 * ln(DBH)"
345,T,"THPL","Thuja plicata","Western Redcedar",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",17.100,123.700,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.954055000,2.407800000,,,"ln(BSW) =  3.954055 + 2.4078 * ln(DBH)"
346,T,"THPL","Thuja plicata","Western Redcedar",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",17.100,123.700,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,1.358245000,2.363100000,,,"ln(BSB) = 1.358245 + 2.3631 * ln(DBH)"
347,T,"THPL","Thuja plicata","Western Redcedar",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",17.100,123.700,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.011299000,2.408000000,,,"ln(BST) = 4.011299 + 2.4080 * ln(DBH)"
348,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",14.400,114.800,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,4.176308000,2.535300000,,,"ln(BSW) =  4.176308 + 2.5353 * ln(DBH)"
349,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",14.400,114.800,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.766209000,2.347400000,,,"ln(BSB) = 2.766209 + 2.3474 * ln(DBH)"
350,T,"TSHE","Tsuga heterophylla","Western Hemlock",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",14.400,114.800,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.386886000,2.509500000,,,"ln(BST) = 4.386886 + 2.5095 * ln(DBH)"
351,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",38.600,161.000,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,5.594456000,2.214500000,,,"ln(BSW) =  5.594456 + 2.2145 * ln(DBH)"
352,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",38.600,161.000,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,4.608186000,2.068700000,,,"ln(BSB) = 4.608186 + 2.0687 * ln(DBH)"
353,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",38.600,161.000,cm,,"",,,,,"",,,,"Total stem biomass",,,g,5.877232000,2.190100000,,,"ln(BST) =  5.877232 + 2.1901 * ln(DBH)"
354,T,"THPL","Thuja plicata","Western Redcedar",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",31.200,95.500,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.704257000,2.520300000,,,"ln(BSW) =  3.704257 + 2.5203 * ln(DBH)"
355,T,"THPL","Thuja plicata","Western Redcedar",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",31.200,95.500,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,5.919591000,1.430200000,,,"ln(BSB) = 5.919591 + 1.4302 * ln(DBH)"
356,T,"THPL","Thuja plicata","Western Redcedar",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",31.200,95.500,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.250036000,2.411700000,,,"ln(BST) = 4.250036 + 2.4117 * ln(DBH)"
357,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",24.700,56.000,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,2.278515000,3.035800000,,,"ln(BSW) =  2.278515 + 3.0358 * ln(DBH)"
358,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",24.700,56.000,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,0.779614000,2.879500000,,,"ln(BSB) = 0.779614 + 2.8795 * ln(DBH)"
359,T,"TSHE","Tsuga heterophylla","Western Hemlock",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",24.700,56.000,cm,,"",,,,,"",,,,"Total stem biomass",,,g,2.454440000,3.020300000,,,"ln(BST) = 2.45444 + 3.0203 * ln(DBH)"
360,T,"ABAM","Abies amabilis","Pacific Silver Fir",BSW,W,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",13.300,80.000,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.078958000,2.762300000,,,"ln(BSW) =  3.078958 + 2.7623 * ln(DBH)"
361,T,"ABAM","Abies amabilis","Pacific Silver Fir",BSB,W,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",13.300,80.000,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,0.298659000,3.000900000,,,"ln(BSB) = 0.298659 + 3.0009 * ln(DBH)"
362,T,"ABAM","Abies amabilis","Pacific Silver Fir",BST,W,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",13.300,80.000,cm,,"",,,,,"",,,,"Total stem biomass",,,g,3.167245000,2.776300000,,,"ln(BST) = 3.167245 + 2.7763 * ln(DBH)"
363,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSW,W,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",24.600,206.500,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.982980000,2.503000000,,,"ln(BSW) =  3.98298 + 2.5030 * ln(DBH)"
364,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSB,W,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",24.600,206.500,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,1.589661000,2.702300000,,,"ln(BSB) = 1.589661 + 2.7023 * ln(DBH)"
365,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BST,W,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",24.600,206.500,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.073402000,2.527700000,,,"ln(BST) = 4.073402 + 2.5277 * ln(DBH)"
366,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,W,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.300,134.700,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.412996000,2.664800000,,,"ln(BSW) =  3.412996 + 2.6648 * ln(DBH)"
367,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,W,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.300,134.700,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,0.787286000,2.787600000,,,"ln(BSB) = 0.787286 + 2.7876 * ln(DBH)"
368,T,"TSHE","Tsuga heterophylla","Western Hemlock",BST,W,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.300,134.700,cm,,"",,,,,"",,,,"Total stem biomass",,,g,3.483012000,2.674100000,,,"ln(BST) = 3.483012 + 2.6741 * ln(DBH)"
369,T,"PISI","Picea sitchensis","Sitka Spruce",BSW,C,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",20.700,176.000,cm,,"",,,,,"",,,,"Stem wood biomass (without bark)",,,g,3.905154000,2.499500000,,,"ln(BSW) = 3.905154 + 2.4995 * ln(DBH)"
370,T,"PISI","Picea sitchensis","Sitka Spruce",BSB,C,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",20.700,176.000,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,3.200874000,2.088700000,,,"ln(BSB) =  3.200874 + 2.0887 * ln(DBH)"
371,T,"PISI","Picea sitchensis","Sitka Spruce",BST,C,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",20.700,176.000,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.085144000,2.476500000,,,"ln(BST) = 4.085144 + 2.4765 * ln(DBH)"
372,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,C,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",19.300,121.600,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,4.438266000,2.421500000,,,"ln(BSW) =  4.438266 + 2.4215 * ln(DBH)"
373,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,C,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",19.300,121.600,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,3.383997000,2.083100000,,,"ln(BSB) = 3.383997 + 2.0831 * ln(DBH)"
374,T,"TSHE","Tsuga heterophylla","Western Hemlock",BST,C,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",19.300,121.600,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.635161000,2.393800000,,,"ln(BST) = 4.635161 + 2.3938 * ln(DBH)"
375,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,C,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",27.500,73.400,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.544438000,2.113000000,,,"ln(BSW) =  3.544438 + 2.1130 * ln(DBH)"
376,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,C,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",27.500,73.400,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,5.418532000,1.585500000,,,"ln(BSB) = 5.418532 + 1.5855 * ln(DBH)"
377,T,"TSHE","Tsuga heterophylla","Western Hemlock",BST,C,M,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",27.500,73.400,cm,,"",,,,,"",,,,"Total stem biomass",,,g,6.096668000,2.069600000,,,"ln(BST) = 6.096668 + 2.0696 * ln(DBH)"
378,T,"ABCO","Abies concolor","White Fir",BSW,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",14.400,158.400,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,2.551192000,2.785600000,,,"ln(BSW) =  2.551192 + 2.7856 * ln(DBH)"
379,T,"ABCO","Abies concolor","White Fir",BSB,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",14.400,158.400,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.106921000,2.727100000,,,"ln(BSB) = 2.106921 + 2.7271 * ln(DBH)"
380,T,"ABCO","Abies concolor","White Fir",BST,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",14.400,158.400,cm,,"",,,,,"",,,,"Total stem biomass",,,g,3.011904000,2.772700000,,,"ln(BST) = 3.011904 + 2.7727 * ln(DBH)"
381,T,"ABMA","Abies magnifica","California Red Fir",BSW,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",18.800,143.200,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,2.646437000,2.762100000,,,"ln(BSW) =  2.646437 + 2.7621 * ln(DBH)"
382,T,"ABMA","Abies magnifica","California Red Fir",BSB,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",18.800,143.200,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,1.471460000,2.842100000,,,"ln(BSB) =  1.47146 + 2.8421 * ln(DBH)"
383,T,"ABMA","Abies magnifica","California Red Fir",BST,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",18.800,143.200,cm,,"",,,,,"",,,,"Total stem biomass",,,g,3.020046000,2.759000000,,,"ln(BST) = 3.020046 + 2.7590 * ln(DBH)"
384,T,"CADE","Calocedrus decurrens","Incense Cedar",BSW,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",25.000,143.900,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,1.992026000,2.733400000,,,"ln(BSW) =  1.992026 + 2.7334 * ln(DBH)"
385,T,"CADE","Calocedrus decurrens","Incense Cedar",BSB,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",25.000,143.900,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,0.500948000,2.859400000,,,"ln(BSB) = 0.500948 + 2.8594 * ln(DBH)"
386,T,"CADE","Calocedrus decurrens","Incense Cedar",BST,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",25.000,143.900,cm,,"",,,,,"",,,,"Total stem biomass",,,g,2.112422000,2.781800000,,,"ln(BST) = 2.112422 + 2.7818 * ln(DBH)"
387,T,"PIJE","Pinus jefferyi","Jeffrey Pine",BSW,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",22.400,133.100,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,1.308791000,3.003700000,,,"ln(BSW) =  1.308791 + 3.0037 * ln(DBH)"
388,T,"PIJE","Pinus jefferyi","Jeffrey Pine",BSB,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",22.400,133.100,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,0.747266000,2.885800000,,,"ln(BSB) = 0.747266 + 2.8858 * ln(DBH)"
389,T,"PIJE","Pinus jefferyi","Jeffrey Pine",BST,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",22.400,133.100,cm,,"",,,,,"",,,,"Total stem biomass",,,g,1.817891000,2.952000000,,,"ln(BST) = 1.817891 + 2.9520 * ln(DBH)"
390,T,"PILA","Pinus lambertiana","Sugar Pine",BSW,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.700,179.600,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,2.455550000,2.777000000,,,"ln(BSW) =  2.45555 + 2.777  * ln(DBH)"
391,T,"PILA","Pinus lambertiana","Sugar Pine",BSB,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.700,179.600,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.183174000,2.661000000,,,"ln(BSB) = 2.183174 + 2.6610 * ln(DBH)"
392,T,"PILA","Pinus lambertiana","Sugar Pine",BST,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.700,179.600,cm,,"",,,,,"",,,,"Total stem biomass",,,g,3.229148000,2.686300000,,,"ln(BST) = 3.229148 + 2.6863 * ln(DBH)"
393,T,"SEGI","Sequoiadendron giganteum","Giant Sequoia",BSW,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",96.800,614.300,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,2.798079000,2.590700000,,,"ln(BSW) =  2.798079 + 2.5907 * ln(DBH)"
394,T,"SEGI","Sequoiadendron giganteum","Giant Sequoia",BSB,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",96.800,614.300,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,7.189689000,1.583700000,,,"ln(BSB) = 7.189689 + 1.5837 * ln(DBH)"
395,T,"SEGI","Sequoiadendron giganteum","Giant Sequoia",BST,S,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",96.800,614.300,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.126728000,2.401900000,,,"ln(BST) = 4.126728 + 2.4019 * ln(DBH)"
396,T,"ABLA2","Abies lasiocarpa","Subalpine Fir",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.600,68.700,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,4.018261000,2.389100000,,,"ln(BSW) =  4.018261 + 2.3891 * ln(DBH)"
397,T,"ABLA2","Abies lasiocarpa","Subalpine Fir",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.600,68.700,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.253295000,2.314900000,,,"ln(BSB) =  2.253295 + 2.3149 * ln(DBH)"
398,T,"ABLA2","Abies lasiocarpa","Subalpine Fir",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.600,68.700,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.172527000,2.380900000,,,"ln(BST) = 4.172527 + 2.3809 * ln(DBH)"
399,T,"THPL","Thuja plicata","Western Redcedar",BSW,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",11.800,168.500,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.862652000,2.445400000,,,"ln(BSW) =  3.862652 + 2.4454 * ln(DBH)"
400,T,"THPL","Thuja plicata","Western Redcedar",BSB,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",11.800,168.500,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.385440000,2.198700000,,,"ln(BSB) = 2.38544 + 2.1987 * ln(DBH)"
401,T,"THPL","Thuja plicata","Western Redcedar",BST,W,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",11.800,168.500,cm,,"",,,,,"",,,,"Total stem biomass",,,g,4.039465000,2.420600000,,,"ln(BST) = 4.039465 + 2.4206 * ln(DBH)"
402,T,"PISI","Picea sitchensis","Sitka Spruce",BSW,C,Y,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",24.300,41.500,cm,,"",,,,,"",,,,"Stem wood biomass (without bark)",,,g,5.433522000,2.000400000,,,"ln(BSW) = 5.433522 + 2.0004 * ln(DBH)"
403,T,"PISI","Picea sitchensis","Sitka Spruce",BSB,C,Y,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",24.300,41.500,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.712394000,2.124500000,,,"ln(BSB) =  2.712394 + 2.1245 * ln(DBH)"
404,T,"PISI","Picea sitchensis","Sitka Spruce",BST,C,Y,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",24.300,41.500,cm,,"",,,,,"",,,,"Total stem biomass",,,g,5.483533000,2.012000000,,,"ln(BST) = 5.483533 + 2.0120 * ln(DBH)"
405,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,C,Y,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",25.600,45.700,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,6.063223000,1.923700000,,,"ln(BSW) =  6.063223 + 1.9237 * ln(DBH)"
406,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,C,Y,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",25.600,45.700,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,5.616217000,1.312900000,,,"ln(BSB) = 5.616217 + 1.3129 * ln(DBH)"
407,T,"TSHE","Tsuga heterophylla","Western Hemlock",BST,C,Y,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",25.600,45.700,cm,,"",,,,,"",,,,"Total stem biomass",,,g,6.308001000,1.874300000,,,"ln(BST) = 6.308001 + 1.8743 * ln(DBH)"
408,T,"ABLA2","Abies lasiocarpa","Subalpine Fir",BSW,R,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.700,46.900,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.887030000,2.442800000,,,"ln(BSW) =  3.88703 + 2.4428 * ln(DBH)"
409,T,"ABLA2","Abies lasiocarpa","Subalpine Fir",BSB,R,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.700,46.900,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,0.312692000,3.141300000,,,"ln(BSB) = 0.312692 + 3.1413 * ln(DBH)"
410,T,"ABLA2","Abies lasiocarpa","Subalpine Fir",BST,R,O,T,DBH,"Stem dia. @ breast ht. (1.37 m aboveground)",15.700,46.900,cm,,"",,,,,"",,,,"Total stem biomass",,,g,3.847372000,2.526500000,,,"ln(BST) = 3.847372 + 2.5265 * ln(DBH)"
